QUANTITY,NM_VALUE,SET_CODE,SET_NAME,NAME,RARITY,COLLECTOR_NUMBER.,FOIL,NOTES,SCRYFALL_ID
1,5.35,2X2,Double Masters 2022,Darksteel Plate,Rare,304,,,3f99fb1e-99a6-4c83-98eb-7bff23996a7f
1,36.56,2X2,Double Masters 2022,Mana Drain,Mythic,57,,,3c429c40-2389-41e5-8681-4bb274e25eba
1,32.83,2X2,Double Masters 2022,Mana Drain,Mythic,57,FOIL,,3c429c40-2389-41e5-8681-4bb274e25eba
1,1.86,AFC,Forgotten Realms Commander,Gratuitous Violence,Rare,127,,,73a5760c-e412-4bb4-b176-cfd0e8fc8f95
1,2.15,AFC,Forgotten Realms Commander,Hurl Through Hell,Rare,48,,,47a3321c-28ed-4cd7-84d8-c8cecc09348b
1,6.06,AFC,Forgotten Realms Commander,"Prosper, Tome-Bound",Mythic,2,FOIL,,d743336e-d5c7-4053-a23d-92ec7581f74e
1,3.54,AFC,Forgotten Realms Commander,Reckless Endeavor,Rare,33,,,ba98a4bd-e217-4dba-aee9-315b4f843cdf
1,8,AFC,Forgotten Realms Commander,Robe of Stars,Rare,11,,,b2992175-5499-4a83-9ff2-03c7c34819c3
1,2.19,AFC,Forgotten Realms Commander,Wild-Magic Sorcerer,Rare,36,,,a48df69d-ef3d-46b1-8811-b6a1be777cdc
1,3.48,AFC,Forgotten Realms Commander,Winged Boots,Rare,20,,,d1aa5f8a-e965-45db-8957-f5c3fe3f2ebb
1,2.65,AFR,Adventures in the Forgotten Realms,"Delina, Wild Mage",Rare,138,,,e87459aa-af8f-4bd2-a310-151353083a2e
1,2.42,AFR,Adventures in the Forgotten Realms,"Delina, Wild Mage",Rare,138,FOIL,,e87459aa-af8f-4bd2-a310-151353083a2e
1,5.62,AFR,Adventures in the Forgotten Realms,Teleportation Circle,Rare,39,,,90140bc0-4a9c-4422-b07c-3400c7ccde56
1,2.23,AFR,Adventures in the Forgotten Realms,Xorn,Rare,167,,,f73fdf76-e3a6-49d0-bfb0-4b7cdbd4271e
1,2.79,BBD,Battlebond,Generous Patron,Rare,70,,,59ea095b-af0e-4178-b6f4-816abb635fc0
1,1.18,BBD,Battlebond,Tidespout Tyrant,Rare,134,,,9a7c2716-35ab-411d-8456-267e09833358
1,19.51,C21,Commander 2021,"Adrix and Nev, Twincasters",Mythic,336,,,823ccb07-cf08-4ae3-9b9a-f16de8e6d745
1,14.03,C21,Commander 2021,Inkshield,Rare,71,,,5e1c14a0-cd68-45fc-a127-422ca6113048
1,5.5,C21,Commander 2021,Pest Infestation,Rare,392,,,99b7ac6b-b320-44b3-90b9-337a8be5a8e9
1,4.7,C21,Commander 2021,"Rionya, Fire Dancer",Rare,382,,,536c2936-2fdc-4664-97fd-bd580fc2d90e
1,2.3,C21,Commander 2021,Rite of Replication,Rare,128,,,7935570c-f7e0-4add-864a-4c804b26555e
